# $ this file belongs to the Molcas repository $
# this file defines aliases for basis set for.each atom
# Format:
#Basis_name Alias(real file)
#H.Ano-s   H.Ano-s...1s.
#

H.ANO-XS-MB                              H.ANO-XS...1s.
H.ANO-XS-VDZ                             H.ANO-XS...2s.
H.ANO-XS-VDZP                            H.ANO-XS...2s1p.
C.ANO-XS-MB                              C.ANO-XS...2s1p.
C.ANO-XS-VDZ                             C.ANO-XS...3s2p.
C.ANO-XS-VDZP                            C.ANO-XS...3s2p1d.
N.ANO-XS-MB                              N.ANO-XS...2s1p.
N.ANO-XS-VDZ                             N.ANO-XS...3s2p.
N.ANO-XS-VDZP                            N.ANO-XS...3s2p1d.
O.ANO-XS-MB                              O.ANO-XS...2s1p.
O.ANO-XS-VDZ                             O.ANO-XS...3s2p.
O.ANO-XS-VDZP                            O.ANO-XS...3s2p1d.
Si.ANO-XS-MB                             Si.ANO-XS...3s2p.
Si.ANO-XS-VDZ                            Si.ANO-XS...4s3p.
Si.ANO-XS-VDZP                           Si.ANO-XS...4s3p1d.
P.ANO-XS-MB                              P.ANO-XS...3s2p.
P.ANO-XS-VDZ                             P.ANO-XS...4s3p.
P.ANO-XS-VDZP                            P.ANO-XS...4s3p1d.
S.ANO-XS-MB                              S.ANO-XS...3s2p.
S.ANO-XS-VDZ                             S.ANO-XS...4s3p.
S.ANO-XS-VDZP                            S.ANO-XS...4s3p1d.
Cl.ANO-XS-MB                             Cl.ANO-XS...3s2p.
Cl.ANO-XS-VDZ                            Cl.ANO-XS...4s3p.
Cl.ANO-XS-VDZP                           Cl.ANO-XS...4s3p1d.
Ca.ANO-XS-MB                             Ca.ANO-XS...4s3p.
Ca.ANO-XS-VDZ                            Ca.ANO-XS...5s4p.
Ca.ANO-XS-VDZP                           Ca.ANO-XS...5s4p1d.

H.SVP                                    H.DZP.....
H.TZVP                                   H.TZP.....
He.SVP                                   He.DZP.....
He.TZVP                                  He.TZP.....
Al.DEF-SV(P)                             Al.SVP....
Ar.DEF-SV(P)                             Ar.SVP....
As.DEF-SV(P)                             As.SVP....
B.DEF-SV(P)                              B.SVP....
Be.DEF-SV(P)                             Be.SVP....
Br.DEF-SV(P)                             Br.SVP....
C.DEF-SV(P)                              C.SVP....
Ca.DEF-SV(P)                             Ca.SVP....
Cl.DEF-SV(P)                             Cl.SVP....
Co.DEF-SV(P)                             Co.SVP....
Cr.DEF-SV(P)                             Cr.SVP....
Cu.DEF-SV(P)                             Cu.SVP....
F.DEF-SV(P)                              F.SVP....
Fe.DEF-SV(P)                             Fe.SVP....
Ga.DEF-SV(P)                             Ga.SVP....
Ge.DEF-SV(P)                             Ge.SVP....
H.DEF-SV(P)                              H.DZ....
He.DEF-SV(P)                             He.DZ....
Hg.DEF-SV(P)                             Hg.60-MWB-OPT
K.DEF-SV(P)                              K.SVP....
